0.00	X
0.16	B
0.30	C
0.37	B
0.51	F
0.58	B
0.65	A
0.82	B
0.89	C
1.02	G
1.23	D
1.30	B
1.58	C
1.65	A
1.75	B
1.85	E
1.92	F
1.99	G
2.13	E
2.20	B
2.27	C
2.34	H
2.41	C
2.48	B
2.69	E
2.97	C
3.11	X
4.01	C
4.10	E
4.17	B
5.04	H
5.18	C
5.39	B
5.46	E
5.74	B
6.37	F
6.58	A
6.68	C
6.73	B
6.85	E
6.99	F
7.06	B
7.48	C
7.55	A
7.63	B
7.73	C
7.94	A
8.02	B
8.14	A
8.28	B
8.62	C
8.76	B
8.83	F
8.90	B
9.11	C
9.18	A
9.26	B
9.64	F
9.78	E
10.06	B
11.11	X
12.22	B
12.32	A
12.40	B
12.81	F
13.02	E
13.09	B
13.23	C
13.30	F
13.37	E
13.44	B
13.65	C
13.72	G
13.79	B
13.86	C
13.93	H
14.00	D
14.07	B
14.28	A
14.36	B
14.65	C
14.79	B
15.49	C
15.56	G
15.70	C
15.84	B
15.98	F
16.05	B
16.12	A
16.20	B
16.38	G
16.52	B
16.73	E
16.87	B
17.36	A
17.44	G
17.50	B
17.63	D
17.95	C
18.01	B
18.25	C
18.53	B
18.60	C
18.67	E
19.02	B
19.16	F
19.30	E
19.44	B
19.93	X
20.58	B
20.75	C
20.89	A
21.05	B
21.29	G
21.36	E
21.43	G
21.57	E
21.64	C
21.71	B
21.85	G
21.92	F
21.99	B
22.27	G
22.34	F
22.55	B
22.62	A
22.70	F
22.79	B
23.07	A
23.15	C
23.35	B
23.82	C
23.96	A
24.04	B
24.21	E
24.28	F
24.49	B
24.56	G
24.63	E
24.77	G
24.84	E
24.91	A
24.99	E
25.17	B
25.24	C
25.31	H
25.38	B
25.45	F
25.52	B
25.59	D
25.78	C
25.83	B
26.36	C
26.43	A
26.51	F
26.55	D
26.66	B
26.94	E
27.01	C
27.08	B
27.36	G
27.50	B
28.06	X
28.28	B
28.39	X
28.98	B
29.21	A
29.30	B
29.87	C
30.08	B
30.43	F
30.64	B
30.78	D
30.85	A
30.97	G
31.01	B
31.33	E
31.82	G
31.96	D
32.10	B
32.24	A
32.32	D
32.40	B
32.54	A
32.65	F
32.72	B
33.00	E
33.28	B
33.56	F
33.84	C
33.91	E
34.05	C
34.12	B
34.26	X
34.57	X
