0.00	X
0.38	F
0.44	B
0.98	C
1.05	B
1.75	A
1.87	B
2.01	E
2.08	C
2.15	B
2.29	X
2.55	B
3.10	C
3.17	B
3.73	F
3.80	E
3.87	C
4.08	H
4.15	G
4.22	B
4.50	G
4.57	F
4.71	B
4.85	C
4.92	D
5.06	F
5.27	C
5.34	B
5.48	C
5.55	B
5.90	F
5.97	B
6.11	F
6.32	B
6.46	C
6.53	B
6.81	G
6.88	E
6.95	G
7.02	E
7.26	F
7.31	B
7.42	F
7.56	B
7.63	C
7.70	F
7.91	B
8.05	F
8.26	B
8.33	A
8.41	F
8.48	D
8.54	F
8.75	B
8.82	A
8.93	B
9.17	G
9.31	B
9.73	X
10.67	D
10.83	C
10.90	F
10.97	B
11.18	G
11.32	E
11.46	B
11.53	E
11.60	C
11.74	H
11.81	G
11.95	B
12.30	G
12.51	B
12.72	F
12.79	B
12.86	A
12.95	B
13.44	C
13.51	F
13.61	B
13.66	C
13.71	B
13.85	C
13.92	B
14.69	E
14.76	F
14.83	B
15.11	G
15.18	D
15.25	H
15.32	G
15.39	E
15.46	A
15.54	E
15.76	B
15.97	F
16.18	A
16.26	C
16.40	D
16.47	B
16.68	C
16.75	B
17.03	C
17.10	A
17.20	D
17.25	C
17.36	A
17.44	H
17.50	C
17.55	B
17.62	C
17.69	A
17.79	B
18.04	G
18.18	B
18.39	C
18.46	B
18.67	X
19.85	B
19.98	C
20.05	B
20.33	A
20.44	B
20.50	C
20.55	E
20.62	C
20.69	G
20.90	D
20.97	B
21.25	C
21.32	A
21.41	B
21.47	E
21.53	F
21.60	G
21.74	E
21.81	B
21.88	C
21.95	H
22.02	C
22.09	B
22.30	E
22.51	C
22.65	X
22.85	B
23.01	X
23.50	B
23.63	X
23.69	X
