0.00	X
0.24	C
0.49	B
0.63	F
0.70	C
0.98	A
1.06	F
1.22	B
1.57	C
1.92	E
1.99	F
2.34	A
2.42	F
2.62	B
3.18	C
3.25	F
3.39	E
3.46	H
3.60	B
3.74	A
3.82	B
3.95	G
4.02	B
4.23	F
4.30	E
4.72	A
4.86	B
4.92	C
4.98	B
5.33	C
5.47	B
5.61	F
5.82	G
5.96	B
6.45	G
6.52	B
6.66	A
6.74	B
7.21	F
7.35	B
7.42	C
7.49	H
7.70	B
7.91	F
8.12	A
8.37	C
8.42	B
8.46	G
8.53	E
8.60	B
8.67	E
8.81	F
8.88	B
8.95	C
9.02	H
9.23	A
9.31	C
9.37	E
9.63	B
9.91	F
10.12	A
10.20	F
10.27	B
10.68	A
10.81	B
11.07	G
11.14	B
11.21	D
11.47	C
11.54	B
12.01	C
12.15	B
12.29	C
12.36	B
12.43	A
12.53	E
12.60	B
12.67	C
12.88	B
13.23	G
13.37	H
13.72	C
13.86	B
14.14	C
14.28	B
15.12	C
15.40	B
15.47	D
15.75	B
15.82	G
15.89	B
16.38	C
16.52	A
16.65	C
16.70	E
16.89	B
17.03	A
17.11	F
17.42	X
17.66	B
17.73	G
17.86	B
18.21	G
18.28	B
18.49	A
18.62	B
18.69	G
18.76	F
18.83	B
18.97	A
19.07	E
19.30	B
20.06	C
20.26	B
20.33	F
20.54	B
20.75	F
20.89	C
21.17	B
21.24	C
21.52	B
21.66	F
21.94	A
22.23	F
22.39	B
22.53	C
22.60	G
22.74	B
23.02	X
23.45	X
