0.00	X
0.15	B
0.31	C
0.45	H
0.59	B
0.79	C
0.86	F
1.06	B
1.20	A
1.31	B
1.64	A
1.72	B
1.95	C
2.16	B
2.37	C
2.44	A
2.53	E
2.69	B
2.83	C
3.18	A
3.31	C
3.37	B
3.66	E
3.73	C
3.87	B
4.08	C
4.22	H
4.29	B
4.36	C
4.43	E
4.57	B
4.78	C
4.99	B
5.13	E
5.20	F
5.27	G
5.41	E
5.48	B
5.62	D
5.69	E
5.76	A
5.84	B
6.33	C
6.61	A
6.72	C
7.00	G
7.07	B
7.14	H
7.28	B
7.98	C
8.05	A
8.17	B
8.53	X
8.77	B
9.01	E
9.15	F
9.22	A
9.30	B
9.59	G
9.73	B
10.08	E
10.15	B
10.36	C
10.43	H
10.50	C
10.57	B
10.92	F
10.99	A
11.07	B
11.31	C
11.38	G
11.45	B
12.01	A
12.13	B
12.46	G
12.60	C
12.67	B
12.95	A
13.11	H
13.22	C
13.29	B
13.58	H
13.65	C
13.93	B
14.42	F
14.63	B
15.26	G
15.33	B
15.68	C
15.75	F
16.03	C
16.10	H
16.24	B
16.52	X
16.95	X
