0.00	X
0.16	F
0.20	B
0.38	C
0.45	E
0.52	F
0.59	B
0.80	C
0.94	B
1.01	E
1.08	F
1.36	B
1.92	C
1.99	B
2.34	F
2.41	B
2.48	C
2.55	B
2.90	F
3.04	A
3.12	C
3.27	B
3.41	F
3.62	E
3.69	C
3.76	B
3.83	C
4.04	B
4.11	E
4.32	B
4.53	X
4.90	F
5.25	G
5.32	B
5.46	E
5.60	F
5.67	B
5.81	F
5.88	A
5.96	C
6.05	F
6.26	A
6.34	B
6.62	C
6.90	B
7.32	C
7.46	G
7.53	F
7.74	B
8.02	F
8.44	G
8.51	B
8.72	C
8.93	E
9.07	B
9.14	F
9.40	B
9.58	E
9.72	C
10.00	A
10.17	B
10.27	X
10.42	B
10.92	C
11.06	B
11.48	A
11.58	D
11.72	H
11.86	C
12.00	B
12.14	G
12.21	F
12.42	B
12.49	C
12.56	A
12.63	C
12.69	A
12.75	C
13.16	A
13.24	E
13.32	B
13.81	X
14.09	B
14.27	C
14.41	A
14.56	B
14.83	F
14.90	A
15.02	C
15.08	B
15.66	G
15.93	B
16.21	F
16.70	C
16.77	H
16.84	C
16.91	A
16.99	E
17.26	B
17.46	X
17.68	B
17.79	C
18.00	B
18.49	F
18.91	B
19.12	E
19.19	G
19.26	B
19.68	C
19.82	A
20.18	X
20.58	B
21.07	D
21.42	C
21.58	B
22.44	C
22.58	A
22.66	C
22.81	B
23.02	F
23.09	B
23.30	F
23.51	C
23.65	B
23.72	A
23.80	B
24.46	D
24.72	B
24.86	A
24.94	B
25.17	C
25.31	F
25.38	B
25.45	F
25.52	D
25.85	E
25.90	F
26.08	C
26.15	E
26.29	F
26.36	C
26.43	B
26.85	F
27.13	G
27.20	B
27.55	F
27.83	B
28.53	G
28.60	B
28.67	C
29.02	E
29.09	B
29.58	F
29.79	G
29.93	B
30.14	F
30.28	B
30.42	E
30.56	F
30.63	C
30.70	E
30.84	F
31.15	B
31.43	H
31.50	C
31.57	B
31.99	F
32.20	A
32.26	B
32.32	A
32.40	C
32.55	B
32.90	E
32.97	F
33.04	B
33.25	D
33.49	B
33.63	X
34.52	X
